time_s,knee_left_deg,knee_right_deg,elbow_left_deg,elbow_right_deg,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_pinky_x,right_pinky_x,left_index_x,right_index_x,left_thumb_x,right_thumb_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,left_heel_x,right_heel_x,left_foot_index_x,right_foot_index_x,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_pinky_y,right_pinky_y,left_index_y,right_index_y,left_thumb_y,right_thumb_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y,left_heel_y,right_heel_y,left_foot_index_y,right_foot_index_y
0.000,144.24,77.172,62.52,84.492,1112.411,1091.236,1188.558,1132.255,1102.979,1075.81,1077.616,1058.427,1072.664,1053.665,1079.159,1061.76,1144.428,1139.389,1089.427,1148.209,1117.103,1284.438,1136.475,1302.461,1049.583,1339.311,429.753,438.159,515.656,517.722,537.112,540.259,550.068,550.822,532.392,539.352,527.915,534.699,616.686,617.557,741.062,749.499,872.342,708.752,893.633,683.35,900.567,748.68
0.040,138.818,68.413,63.476,83.572,1112.161,1091.259,1180.806,1132.332,1090.191,1076.247,1067.956,1058.878,1066.363,1054.923,1072.975,1062.415,1145.277,1138.933,1092.549,1122.162,1135.495,1264.502,1157.575,1284.985,1076.399,1320.512,430.275,437.339,519.756,515.436,537.32,537.317,550.63,548.219,532.482,535.624,528.184,531.96,614.797,616.427,741.543,747.081,869.199,710.872,890.893,685.902,899.762,751.37
0.080,131.183,68.876,66.354,85.671,1112.309,1088.82,1172.455,1124.907,1083.567,1071.068,1062.129,1055.111,1059.477,1050.566,1066.807,1057.879,1146.925,1134.526,1098.589,1112.542,1164.51,1248.733,1193.716,1272.042,1107.083,1297.88,429.498,437.124,521.356,518.199,536.341,537.439,547.156,546.016,528.508,533.045,525.676,530.583,613.565,615.386,743.232,743.593,865.285,716.148,886.408,693.903,899.475,769.627
0.120,130.046,68.067,67.122,75.361,1112.208,1091.68,1160.319,1142.36,1073.34,1074.878,1049.828,1058.047,1046.682,1053.021,1054.866,1060.094,1150.262,1134.451,1114.201,1093.716,1195.839,1229.693,1224.345,1257.261,1143.048,1265.684,425.658,433.368,518.667,513.382,525.47,534.933,529.026,540.271,515.409,527.2,515.334,526.926,612.142,614.138,743.209,737.84,861.68,729.032,880.541,712.598,898.174,793.325
0.160,141.681,69.941,66.8,70.966,1107.569,1103.037,1143.231,1172.83,1060.952,1110.74,1036.998,1095.925,1036.13,1092.148,1042.924,1095.867,1150.552,1135.528,1144.131,1072.614,1227.042,1212.843,1250.898,1237.364,1173.788,1222.244,420.132,427.113,514.643,497.299,511.012,527.321,511.965,531.011,500.049,524.966,500.302,522.418,609.951,612.027,744.535,723.987,860.396,746.886,877.812,737.213,896.14,807.49
0.200,145.784,74.69,61.181,70.481,1100.007,1108.952,1128.176,1179.284,1048.513,1125.657,1025.564,1112.915,1027.892,1108.526,1034.947,1112.61,1150.719,1135.403,1162.319,1061.223,1251.215,1193.866,1280.093,1221.442,1198.623,1196.258,416.843,418.307,514.242,482.877,496.305,511.303,493.883,512.395,481.851,507.878,483.263,505.509,607.594,609.408,743.215,710.662,852.582,761.358,871.401,760.883,890.242,820.506
0.240,149.624,84.015,58.946,66.716,1096.117,1110.494,1120.607,1193.035,1044.545,1147.223,1021.784,1135.5,1024.893,1130.335,1031.667,1134.769,1150.563,1132.859,1181.721,1052.918,1274.504,1167.694,1302.009,1193.34,1236.362,1152.889,409.56,409.484,507.384,470.257,484.132,497.084,480.085,500.835,468.166,496.097,469.654,493.811,599.409,601.552,737.932,696.138,837.248,774.193,854.7,778.125,888.649,841.854
0.280,156.085,97.415,57.279,63.568,1089.924,1114.946,1114.757,1194.969,1038.233,1151.602,1016.441,1144.307,1021.645,1132.894,1027.91,1138.418,1149.553,1133.158,1197.776,1050.245,1292.126,1139.063,1322.695,1166.498,1263.041,1111.082,404.979,402.051,495.724,458.618,471.719,481.981,465.651,489.36,454.379,481.832,456.408,479.856,592.276,592.017,729.963,681.624,830.377,788.2,844.187,800.369,888.433,853.671
0.320,164.303,112.652,58.717,64.114,1085.629,1116.148,1104.442,1193.581,1035.627,1141.724,1013.557,1130.796,1018.678,1123.962,1025.349,1128.08,1146.725,1129.324,1210.494,1047.966,1304.516,1111.505,1332.531,1137.829,1286.547,1070.498,397.429,395.38,486.257,451.71,462.125,479.375,456.293,483.271,443.945,478.594,445.653,476.736,584.548,582.862,715.564,677.523,821.276,804.021,829.85,822.453,887.555,857.755
0.360,170.528,127.41,58.196,64.324,1087.887,1114.084,1099.228,1193.291,1036.599,1143.21,1014.167,1131.008,1018.876,1125.527,1025.423,1129.285,1145.734,1121.782,1221.21,1046.637,1314.396,1080.902,1335.458,1102.215,1308.593,1031.532,395.576,393.102,483.146,443.218,454.703,474.514,447.882,479.398,436.375,475.559,438.061,473.252,585.41,585.238,705.349,680.081,810.109,815.502,815.476,839.33,884.674,856.661
