time_s,knee_left_deg,knee_right_deg,elbow_left_deg,elbow_right_deg,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_pinky_x,right_pinky_x,left_index_x,right_index_x,left_thumb_x,right_thumb_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,left_heel_x,right_heel_x,left_foot_index_x,right_foot_index_x,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_pinky_y,right_pinky_y,left_index_y,right_index_y,left_thumb_y,right_thumb_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y,left_heel_y,right_heel_y,left_foot_index_y,right_foot_index_y
0.480,151.759,166.71,54.741,63.017,1075.984,1109.568,1090.457,1187.08,1035.518,1136.264,1016.976,1123.928,1022.277,1118.836,1028.426,1122.241,1132.433,1122.435,1219.084,1058.148,1346.019,1017.913,1372.758,1022.193,1368.86,953.156,390.475,391.733,477.262,443.219,450.714,471.881,444.574,471.449,435.735,467.717,437.545,466.213,576.472,580.159,695.719,691.726,756.957,826.161,749.821,858.223,827.811,832.759
0.520,141.295,169.042,60.108,61.843,1077.835,1107.908,1092.188,1185.613,1036.31,1134.881,1017.505,1122.223,1022.5,1117.433,1028.397,1120.832,1129.267,1121.633,1211.653,1058.886,1347.977,1015.921,1374.497,1020.17,1377.832,949.627,391.697,393.679,475.372,446.576,454.859,473.097,450.473,474.034,441.809,469.236,443.188,468.154,578.541,582.447,700.443,695.898,742.754,828.229,729.992,861.162,806.748,831.024
0.560,129.46,167.788,62.7,63.996,1077.519,1107.353,1092.861,1183.895,1028.536,1133.65,1009.101,1121.881,1015.388,1116.899,1020.829,1119.871,1129.118,1120.259,1205.832,1059.094,1344.291,1020.257,1365.331,1023.844,1388.61,954.791,392.836,393.814,478.073,449.117,458.288,475.999,452.544,475.485,443.624,471.105,444.119,470.735,580.49,583.615,706.162,698.336,725.768,835.103,707.613,866.255,780.081,830.232
0.600,116.218,160.992,71.72,64.921,1076.434,1104.257,1095.139,1178.173,1031.762,1133.502,1011.477,1120.811,1017.601,1115.756,1023.367,1119.714,1126.83,1120.62,1196.94,1059.265,1333.493,1034.134,1354.292,1040.124,1382.098,972.414,394.404,395.153,479.577,455.63,473.035,477.063,472.295,478.47,463.485,473.726,463.299,472.842,583.575,587.888,716.013,698.717,712.013,841.823,690.598,872.685,760.797,839.356
0.640,101.792,153.455,79.032,59.499,1074.219,1096.815,1102.098,1170.945,1032.883,1125.003,1012.701,1115.362,1017.904,1109.592,1024.528,1112.074,1121.44,1120.774,1177.705,1058.262,1324.512,1050.5,1336.649,1059.938,1367.125,989.527,396.005,399.151,480.209,467.227,489.138,481.217,493.274,479.613,482.685,475.004,481.74,473.444,587.099,590.814,731.481,700.949,706.919,847.398,683.247,876.243,749.627,861.323
0.680,90.635,147.238,81.41,48.872,1072.619,1086.334,1107.854,1162.81,1038.544,1099.696,1023.865,1090.701,1024.456,1085.125,1029.816,1085.642,1121.966,1115.766,1160.18,1055.007,1300.548,1063.319,1310.356,1088.447,1352.844,999.719,402.807,406.343,482.259,484.512,501.254,488.091,508.666,489.205,498.092,483.609,495.899,483.757,594.925,597.819,739.932,705.541,704.599,848.064,681.336,874.137,745.005,876.175
0.720,79.398,138.941,84.829,71.186,1073.68,1071.871,1118.743,1124.314,1053.431,1067.975,1035.211,1055.745,1032.526,1048.814,1037.41,1054.098,1122.672,1109.201,1134.587,1055.911,1272.123,1094.12,1287.475,1120.962,1331.156,1032.702,409.711,415.906,483.485,488.213,515.688,505.587,526.757,512.595,514.133,505.059,510.172,501.287,602.359,603.502,747.719,715.689,710.125,852.072,688.177,876.434,749.859,884.934
0.760,71.797,138.986,78.815,77.99,1074.337,1068.974,1131.892,1125.531,1062.58,1071.771,1042.864,1055.486,1039.901,1050.723,1045.535,1056.347,1122.49,1106.778,1112.155,1068.351,1246.553,1122.639,1264.887,1147.026,1307.3,1065.037,417.133,424.421,487.051,494.426,524.333,521.729,534.176,525.696,521.208,518.304,518.005,516.11,605.747,606.054,749.96,732.679,716.193,853.854,694.533,875.544,758.045,887.121
0.800,66.77,139.602,75.268,89.045,1074.793,1064.756,1141.059,1106.662,1067.572,1061.83,1045.926,1043.091,1041.352,1038.955,1047.989,1046.389,1122.27,1108.679,1088.426,1085.191,1232.558,1152.307,1251.141,1177.675,1274.053,1093.63,420.639,428.007,487.118,500.04,529.848,525.131,539.742,530.523,525.908,521.514,522.61,519.107,611.891,610.166,747.072,738.979,723.794,854.929,705.368,875.016,769.407,888.695
0.840,63.909,144.212,71.617,85.122,1075.798,1066.221,1149.353,1103.195,1077.587,1052.085,1057.2,1030.475,1050.219,1028.001,1056.5,1039.305,1122.55,1110.935,1070.841,1105.495,1212.42,1178.829,1234.728,1206.224,1241.456,1124.383,422.53,430.194,486.559,500.13,528.962,521.811,543.273,527.669,528.849,519.044,524.618,517.944,613.509,610.492,744.012,741.995,732.928,853.127,718.57,873.614,789.448,887.912
0.880,73.724,154.111,68.776,83.453,1078.494,1066.311,1156.069,1100.25,1083.813,1046.751,1065.124,1020.156,1059.111,1016.926,1063.963,1028.258,1122.703,1111.693,1063.281,1131.755,1191.39,1206.624,1214.701,1231.835,1202.28,1157.56,422.476,429.595,481.02,497.502,525.707,516.984,540.216,522.017,526.18,514.038,521.763,512.583,611.792,609.844,741.162,743.608,760.068,852.874,750.296,873.628,821.369,890.251
