time_s,knee_left_deg,knee_right_deg,elbow_left_deg,elbow_right_deg,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_pinky_x,right_pinky_x,left_index_x,right_index_x,left_thumb_x,right_thumb_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,left_heel_x,right_heel_x,left_foot_index_x,right_foot_index_x,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_pinky_y,right_pinky_y,left_index_y,right_index_y,left_thumb_y,right_thumb_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y,left_heel_y,right_heel_y,left_foot_index_y,right_foot_index_y
0.560,75.364,157.243,85.578,178.776,839.235,915.383,798.479,942.66,813.416,997.199,812.183,1010.154,825.294,1011.08,828.636,1005.897,842.135,845.386,932.63,802.221,790.367,702.214,764.113,674.736,780.492,733.44,40.219,11.47,46.289,30.048,111.547,68.924,136.951,69.978,129.055,67.795,123.854,68.326,164.848,165.014,276.201,313.639,340.926,437.35,335.869,453.929,411.581,490.923
0.600,87.838,167.558,100.442,146.105,850.63,917.265,799.916,931.624,825.372,990.577,827.325,1003.024,833.043,1004.407,832.327,998.96,846.336,843.683,952.36,765.236,828.814,658.542,791.703,629.671,809.66,689.651,-12.163,-28.874,16.766,0.524,89.621,34.661,110.73,38.057,109.073,36.014,100.733,34.904,143.292,138.725,252.069,285.638,363.714,410.369,370.271,417.953,432.296,476.863
0.640,112.678,165.221,107.135,99.987,867.968,918.514,812.797,924.322,845.701,978.363,846.55,988.942,854.503,990.857,854.008,987.162,855.377,842.06,951.395,757.714,883.025,630.884,853.293,601.686,919.985,626.96,-29.928,-41.817,34.467,13.552,86.562,17.331,107.427,20.765,106.574,19.097,99.266,17.074,135.694,130.876,250.94,266.417,382.15,386.049,393.843,390.72,442.511,470.363
0.680,132.358,141.779,105.345,61.243,884.758,903.289,821.473,870.429,844.026,951.361,836.428,965.482,848.13,962.352,851.445,965.25,860.007,844.088,946.862,766.786,915.594,607.328,897.902,578.366,979.894,581.753,-13.124,-39.513,47.142,-1.716,89.107,15.85,112.863,13.156,109.665,11.227,100.288,13.235,136.54,129.647,258.721,267.46,402.927,333.477,430.896,319.312,445.197,418.423
0.720,151.76,121.81,118.179,69.575,884.601,893.2,826.315,866.601,831.427,897.458,827.203,906.52,838.598,906.767,841.513,900.872,858.769,850.246,923.968,787.018,918.064,621.448,907.645,593.721,986.649,578.474,23.015,-6.435,73.981,18.106,96.146,33.747,112.808,35.702,109.557,33.243,100.654,32.857,139.151,131.961,272.583,270.827,426.353,292.122,456.229,268.528,447.728,356.221
0.760,168.802,95.993,124.635,158.455,870.007,891.307,825.273,854.357,835.338,851.884,834.805,854.712,844.561,861.605,846.837,861.244,854.3,851.194,889.545,826.143,896.201,662.663,881.049,640.825,950.814,593.365,18.908,28.604,85.31,115.015,110.996,203.187,118.85,222.588,116.881,221.683,113.306,217.006,154.59,152.878,298.141,281.507,444.949,267.125,472.173,242.674,471.219,316.443
0.800,157.061,70.827,139.368,160.835,867.457,891.304,885.562,853.941,910.398,847.449,915.217,844.601,914.848,846.924,911.323,844.629,845.4,850.853,869.556,869.062,836.492,723.616,819.256,703.154,898.549,664.169,21.677,21.075,102.785,104.935,121.354,181.428,133.598,198.402,129.777,202.592,125.929,196.075,169.159,164.894,311.521,302.623,451.292,272.658,474.262,246.683,487.685,314.245
0.840,156.118,47.022,130.848,151.721,868.581,871.617,880.245,858.283,921.171,877.106,931.812,880.715,936.955,884.334,930.566,881.252,830.565,841.495,827.399,922.173,765.078,777.092,743.612,752.451,820.379,738.384,20.183,50.821,93.532,152.146,118.92,201.746,129.366,212.954,126.26,212.265,123.125,206.126,189.002,197.49,322.091,301.85,454.26,288.464,478.703,272.021,500.743,346.21
0.880,56.108,152.344,120.696,131.687,869.552,869.545,894.18,863.414,938.555,888.596,948.034,898.233,945.258,900.488,941.653,904.83,833.098,832.967,945.637,812.382,802.92,724.37,772.263,697.912,806.068,735.451,60.073,43.391,113.111,110.549,117.609,137.462,116.654,146.17,100.632,143.724,99.971,132.219,189.129,186.951,283.388,311.085,324.74,427.575,325.826,446.352,397.385,470.3
0.920,71.132,170.193,66.908,152.16,918.803,873.256,931.561,864.502,959.511,893.159,969.881,900.66,969.886,904.295,965.857,905.643,861.807,828.429,975.553,757.335,844.027,671.943,793.59,641.837,812.658,694.508,-2.433,-59.787,85.721,21.819,68.71,93.768,66.974,112.3,59.279,111.756,59.754,104.643,184.508,180.882,264.292,307.257,360.15,412.081,367.665,427.107,422.351,471.465
0.960,98.197,166.022,69.443,145.669,935.586,877.41,934.417,863.347,970.478,895.46,980.943,902.741,980.216,905.855,975.062,906.222,876.649,829.739,977.866,743.644,898.153,637.67,868.049,609.579,944.466,636.509,-32.306,-76.09,59.329,11.589,46.328,79.774,42.327,93.836,33.104,94.715,35.106,89.701,171.587,176.349,262.05,298.014,382.064,389.287,393.259,393.227,436.258,455.823
1.000,129.691,155.55,100.603,128.29,919.641,878.948,911.586,863.693,947.192,911.131,960.854,916.445,963.382,923.379,956.953,919.47,876.136,833.383,964.995,754.69,936.937,615.747,918.815,588.115,1010.452,590.814,-54.004,-67.427,48.979,28.521,58.57,79.974,54.794,90.347,46.017,85.233,51.131,83.958,160.543,170.521,267.203,296.09,418.426,387.966,446.406,363.16,441.137,437.496
1.040,125.349,151.008,169.04,107.3,893.042,897.434,878.398,864.776,881.629,924.353,884.242,939.282,891.507,944.96,893.333,939.319,852.299,859.847,793.29,931.129,633.616,931.565,615.261,918.776,580.33,1007.45,-54.971,-51.63,52.526,34.32,110.271,81.044,116.435,96.558,112.779,92.08,110.38,90.463,160.282,169.728,296.507,297.527,330.24,453.776,307.15,483.12,387.824,465.777
1.080,159.015,72.826,172.996,103.79,897.779,896.872,875.857,869.146,870.625,934.814,868.605,949.549,876.616,954.272,878.848,949.143,862.717,856.209,898.136,896.06,880.59,714.725,868.162,702.391,946.219,628.545,-41.577,-31.762,76.819,72.498,162.705,108.423,178.211,121.491,172.832,113.259,165.582,111.311,172.5,176.948,313.835,324.393,458.477,317.904,490.875,292.726,494.711,355.304
1.120,78.723,143.695,137.441,121.697,880.057,906.064,875.214,905.018,900.869,960.766,902.484,972.88,910.399,976.646,909.649,971.873,861.143,867.502,874.165,897.457,740.202,836.674,723.751,817.864,668.718,896.982,23.825,19.274,135.944,99.817,166.424,135.252,182.263,140.804,176.852,134.907,171.24,134.683,194.484,195.08,328.854,332.368,315.386,468.911,292.466,491.193,348.641,503.909
1.160,63.912,145.744,105.892,135.3,868.26,915.171,826.438,928.613,858.083,986.181,856.022,996.005,863.586,997.61,866.199,994.415,850.898,864.512,912.853,869.99,767.855,786.002,749.818,764.739,724.114,826.474,15.54,21.027,119.156,90.08,143.766,129.328,156.795,135.305,153.764,130.152,149.027,129.061,196.288,198.976,319.431,345.049,320.999,478.893,302.641,493.121,361.63,515.865
