time_s,knee_left_deg_3d,knee_right_deg_3d,elbow_left_deg_3d,elbow_right_deg_3d,torso_yaw_deg,torso_pitch_deg,torso_roll_deg,root_x_m,root_y_m,root_z_m,nose_x,left_eye_inner_x,left_eye_x,left_eye_outer_x,right_eye_inner_x,right_eye_x,right_eye_outer_x,left_ear_x,right_ear_x,mouth_left_x,mouth_right_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_pinky_x,right_pinky_x,left_index_x,right_index_x,left_thumb_x,right_thumb_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,left_heel_x,right_heel_x,left_foot_index_x,right_foot_index_x,nose_y,left_eye_inner_y,left_eye_y,left_eye_outer_y,right_eye_inner_y,right_eye_y,right_eye_outer_y,left_ear_y,right_ear_y,mouth_left_y,mouth_right_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_pinky_y,right_pinky_y,left_index_y,right_index_y,left_thumb_y,right_thumb_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y,left_heel_y,right_heel_y,left_foot_index_y,right_foot_index_y,nose_z,left_eye_inner_z,left_eye_z,left_eye_outer_z,right_eye_inner_z,right_eye_z,right_eye_outer_z,left_ear_z,right_ear_z,mouth_left_z,mouth_right_z,left_shoulder_z,right_shoulder_z,left_elbow_z,right_elbow_z,left_wrist_z,right_wrist_z,left_pinky_z,right_pinky_z,left_index_z,right_index_z,left_thumb_z,right_thumb_z,left_hip_z,right_hip_z,left_knee_z,right_knee_z,left_ankle_z,right_ankle_z,left_heel_z,right_heel_z,left_foot_index_z,right_foot_index_z
0.400,153.642,140.705,145.149,117.644,-80.493,68.888,82.186,0.001893,-0.002391,0.002504,0.190237,0.177541,0.176958,0.17963,0.199808,0.203117,0.202079,0.15815,0.139436,0.191831,0.182818,0.113253,0.129546,0.111519,0.107819,0.246591,0.170271,0.255897,0.226596,0.277953,0.25174,0.267181,0.177824,0.013422,-0.009637,0.176643,-0.200008,0.196324,-0.546023,0.175577,-0.589328,0.228633,-0.580578,-0.372211,-0.39116,-0.395102,-0.392105,-0.394795,-0.391923,-0.380016,-0.439273,-0.365024,-0.38247,-0.341086,-0.32976,-0.416094,-0.237889,-0.159932,-0.197517,-0.12293,-0.241312,-0.151334,-0.253485,-0.186259,-0.179973,-0.144967,0.022351,-0.027134,0.339721,0.24824,0.681965,0.37778,0.718828,0.390214,0.746713,0.466814,0.130629,0.133546,0.140524,0.139125,0.104501,0.096429,0.111747,0.156452,0.068427,0.153591,0.103757,0.246659,0.055792,0.389754,-0.050042,0.681338,-0.063228,0.731791,-0.101679,0.729737,-0.079147,0.690845,-0.055809,0.082301,-0.077293,0.031786,-0.103482,0.050558,-0.009392,0.061089,-0.035182,0.034921,-0.04723
0.440,153.123,99.475,138.895,101.141,-84.983,74.578,79.45,0.001917,-0.002398,0.002003,0.203367,0.194546,0.19571,0.196069,0.21227,0.214394,0.214982,0.158487,0.139049,0.199756,0.187455,0.116633,0.129671,0.114913,0.108041,0.234821,0.201297,0.239681,0.255561,0.254027,0.298772,0.249381,0.216598,0.013421,-0.009587,0.141575,-0.057542,0.13444,-0.494104,0.109088,-0.549171,0.172947,-0.556572,-0.482522,-0.510606,-0.51259,-0.511409,-0.515565,-0.513142,-0.501412,-0.542042,-0.490595,-0.486106,-0.449523,-0.383425,-0.469689,-0.206627,-0.161302,-0.111142,-0.124823,-0.129475,-0.147272,-0.13776,-0.184851,-0.093332,-0.14453,0.022274,-0.027071,0.382835,0.251581,0.774778,0.298553,0.811814,0.288647,0.838072,0.371665,0.103639,0.114998,0.121705,0.123091,0.066721,0.063622,0.080274,0.132063,0.023018,0.147855,0.079495,0.224335,0.018639,0.341733,-0.07006,0.521403,-0.039353,0.558999,-0.078194,0.54634,-0.048537,0.519768,-0.029572,0.100754,-0.096749,0.047312,-0.17302,0.11219,-0.020694,0.126563,-0.041848,0.108002,-0.056283
0.480,150.957,89.895,130.348,133.792,-57.507,57.9,104.523,0.002081,-0.003085,0.002067,0.203397,0.192814,0.194019,0.195298,0.212132,0.21424,0.214906,0.140067,0.13813,0.197638,0.187268,0.072196,0.155796,0.06832,0.158258,0.21421,0.27152,0.224181,0.335328,0.244876,0.370229,0.232679,0.28396,-0.00791,0.012073,0.095019,0.05455,0.015265,-0.338703,-0.019195,-0.38375,0.037813,-0.369799,-0.466241,-0.487449,-0.488607,-0.487899,-0.495219,-0.4923,-0.481553,-0.530137,-0.466752,-0.468393,-0.433329,-0.337138,-0.476731,-0.143922,-0.224781,-0.033435,-0.127704,-0.04204,-0.146933,-0.048951,-0.17842,-0.016835,-0.144793,0.042976,-0.049145,0.41848,0.226591,0.745209,0.295331,0.778267,0.296728,0.808517,0.340997,0.228575,0.242107,0.247054,0.244773,0.209095,0.201088,0.2176,0.286127,0.198042,0.258444,0.205544,0.366848,0.140059,0.438967,0.014895,0.588913,-0.029621,0.620158,-0.078937,0.612527,-0.05684,0.587629,-0.023149,0.100527,-0.096393,0.046159,-0.202491,-0.034227,-0.179225,-0.03559,-0.212812,-0.025968,-0.198238
0.520,85.869,120.524,123.811,107.649,-10.653,49.043,145.559,0.002182,-0.003273,0.00167,0.20304,0.188135,0.190258,0.190813,0.211508,0.213659,0.214766,0.127077,0.141223,0.195142,0.188081,0.046616,0.217757,-0.029958,0.274764,-0.00216,0.39665,-0.010913,0.467609,-0.004047,0.490431,0.005154,0.404593,-0.01891,0.023273,0.125139,0.047583,-0.151291,-0.28938,-0.209076,-0.327248,-0.252773,-0.275154,-0.50721,-0.5271,-0.527469,-0.527877,-0.530118,-0.526648,-0.516108,-0.54058,-0.47416,-0.502674,-0.46257,-0.402733,-0.469013,-0.268462,-0.245874,-0.193488,-0.197583,-0.197307,-0.207838,-0.195327,-0.23968,-0.173907,-0.218944,0.026956,-0.033502,0.375497,0.277625,0.459995,0.537406,0.464043,0.558874,0.533741,0.618265,0.13771,0.156245,0.161901,0.157654,0.122637,0.113005,0.128681,0.173203,0.166411,0.173461,0.119374,0.268396,0.09555,0.331448,0.048738,0.554127,0.162826,0.601493,0.134885,0.546472,0.148453,0.572232,0.167363,0.098926,-0.095587,0.042061,-0.195611,0.00081,-0.178063,0.00725,-0.208249,0.027034,-0.228954
0.560,83.49,144.555,111.268,134.555,-13.206,48.958,144.768,0.001875,-0.00322,0.001638,0.123635,0.105569,0.105902,0.107118,0.125433,0.129738,0.132178,0.06702,0.097394,0.127183,0.127366,0.011017,0.199384,-0.074551,0.260524,0.006582,0.402479,0.006349,0.472672,0.023694,0.497623,0.021318,0.41691,-0.019043,0.022794,0.200132,-0.057758,-0.083392,-0.345858,-0.135735,-0.381383,-0.159184,-0.323861,-0.432363,-0.425689,-0.426535,-0.426339,-0.439838,-0.435683,-0.42631,-0.413461,-0.368105,-0.428282,-0.39474,-0.34071,-0.445817,-0.288966,-0.300626,-0.206777,-0.244842,-0.211158,-0.251121,-0.195876,-0.271028,-0.179847,-0.255162,0.02582,-0.03226,0.267034,0.312824,0.464736,0.619702,0.482355,0.64743,0.575196,0.697761,0.179925,0.173674,0.18128,0.177368,0.150666,0.139135,0.15754,0.175274,0.126836,0.193896,0.149146,0.254013,0.079559,0.323214,0.012903,0.492928,-0.014343,0.528268,-0.080043,0.509412,-0.050974,0.498467,-0.00302,0.098738,-0.095462,0.038198,-0.202412,0.014551,-0.183281,0.020779,-0.21665,0.074719,-0.251083
0.600,85.287,151.189,133.7,114.273,8.478,59.094,170.036,0.001957,-0.003011,0.001478,0.222518,0.217987,0.21934,0.218188,0.231577,0.234853,0.238133,0.168598,0.164638,0.214047,0.207446,0.050292,0.201943,-0.044742,0.22811,-0.00956,0.349305,-0.017704,0.41897,-0.002528,0.452869,-0.000327,0.365188,-0.00149,0.005405,0.244983,-0.142775,-0.00116,-0.470236,-0.054948,-0.507819,-0.03629,-0.454418,-0.4208,-0.424523,-0.425056,-0.425198,-0.434145,-0.430582,-0.420157,-0.423298,-0.380678,-0.426822,-0.391819,-0.369369,-0.446335,-0.277527,-0.290871,-0.173717,-0.233776,-0.17067,-0.237962,-0.146371,-0.264503,-0.137986,-0.24771,0.018094,-0.024116,0.28107,0.315692,0.490534,0.621972,0.507974,0.645341,0.655882,0.706682,-0.043512,-0.048701,-0.039506,-0.042162,-0.081516,-0.094419,-0.073198,-0.01541,-0.109242,-0.010445,-0.066383,0.138223,-0.059701,0.241329,-0.096484,0.378534,-0.035366,0.403311,-0.090584,0.394361,-0.065193,0.378827,-0.027657,0.101269,-0.098313,0.034772,-0.16773,0.100124,-0.117384,0.119567,-0.14729,0.136083,-0.230839
0.640,106.864,148.661,138.08,113.343,-5.051,61.815,155.439,0.001983,-0.002839,0.001571,0.226615,0.218457,0.219269,0.219241,0.231341,0.235002,0.237395,0.167843,0.160454,0.219695,0.211398,0.053626,0.195496,-0.015535,0.217616,0.031042,0.327413,0.023182,0.38686,0.036063,0.42858,0.039607,0.344457,0.002212,0.001754,0.247043,-0.175043,0.103745,-0.560111,0.065157,-0.601865,0.129206,-0.558333,-0.430306,-0.440021,-0.440788,-0.440351,-0.446366,-0.44357,-0.433416,-0.450807,-0.392422,-0.435956,-0.398426,-0.37021,-0.442909,-0.242409,-0.271287,-0.120959,-0.220653,-0.12178,-0.230195,-0.11119,-0.267114,-0.091915,-0.23707,0.018729,-0.024407,0.294851,0.301894,0.599,0.57158,0.635003,0.586783,0.736518,0.644648,0.023508,0.031675,0.038313,0.036055,-0.003496,-0.015372,0.002721,0.072624,-0.026907,0.055891,-0.001442,0.19489,-0.022793,0.274553,-0.068624,0.401681,-0.024969,0.424671,-0.069316,0.421082,-0.047559,0.402822,-0.018533,0.101258,-0.098116,-0.020635,-0.167891,0.060587,-0.116843,0.080925,-0.147678,0.076158,-0.21198
0.680,135.114,132.229,128.162,98.728,-52.737,61.147,110.863,0.001816,-0.002637,0.002144,0.175342,0.162644,0.163096,0.165601,0.166401,0.170998,0.171324,0.134068,0.094541,0.179151,0.160414,0.060017,0.132693,-0.021241,0.079416,0.011717,0.243404,-0.004377,0.312536,0.011023,0.353079,0.018813,0.261291,0.004625,-0.000993,0.190451,-0.163271,0.165399,-0.578517,0.143823,-0.621723,0.224277,-0.590061,-0.41913,-0.432697,-0.433507,-0.433534,-0.440535,-0.437473,-0.428723,-0.445394,-0.394593,-0.421627,-0.385738,-0.335299,-0.442795,-0.226818,-0.282148,-0.11379,-0.247427,-0.112005,-0.252212,-0.108022,-0.287556,-0.089959,-0.260739,0.030019,-0.035294,0.329721,0.289006,0.696683,0.441601,0.738593,0.453675,0.770459,0.51075,0.133677,0.149907,0.155727,0.150314,0.120733,0.108032,0.125503,0.214151,0.1427,0.166595,0.117925,0.300992,0.10525,0.334532,-0.060943,0.413566,-0.118326,0.429003,-0.170595,0.426109,-0.145066,0.413943,-0.109145,0.09886,-0.094572,-0.012175,-0.19232,0.054534,-0.145495,0.070194,-0.178919,0.039053,-0.238619
0.720,155.856,119.217,107.25,57.892,-57.265,56.593,106.12,0.002006,-0.002787,0.001885,0.10693,0.095622,0.097642,0.100064,0.107203,0.111409,0.111894,0.090895,0.055125,0.121791,0.10188,0.059043,0.119678,-0.050661,0.093862,-0.003252,0.206318,-0.008502,0.270833,0.012089,0.304366,0.00634,0.218938,0.006644,-0.002632,0.147586,-0.144945,0.211508,-0.557429,0.199403,-0.606043,0.287637,-0.613566,-0.408801,-0.424698,-0.426268,-0.425722,-0.431338,-0.42803,-0.41843,-0.428967,-0.377601,-0.404191,-0.368606,-0.308583,-0.417092,-0.223949,-0.29101,-0.150231,-0.328672,-0.169333,-0.355708,-0.164293,-0.383788,-0.129929,-0.348704,0.034676,-0.040249,0.391081,0.29055,0.739399,0.367432,0.778071,0.367294,0.784955,0.411056,0.164828,0.173281,0.177839,0.175438,0.150665,0.140603,0.15768,0.217909,0.17501,0.192173,0.154841,0.302748,0.162849,0.34632,0.133639,0.482991,0.208595,0.502638,0.178181,0.491132,0.19801,0.480836,0.21425,0.092689,-0.088919,0.016589,-0.205983,0.08034,-0.154685,0.091353,-0.184005,0.078213,-0.223068
0.760,160.327,93.344,128.143,140.752,-46.576,65.574,117.409,0.001923,-0.002232,0.00217,0.142216,0.134347,0.136321,0.135923,0.152638,0.155084,0.155725,0.112395,0.090819,0.150066,0.135258,0.06055,0.125882,-0.028721,0.045968,0.008477,0.049476,-0.003245,0.083189,0.027944,0.12223,0.010269,0.058303,0.002504,0.001341,0.114901,-0.054864,0.165598,-0.460486,0.149177,-0.507679,0.244171,-0.569567,-0.410643,-0.426269,-0.427884,-0.42746,-0.432778,-0.42959,-0.419834,-0.430389,-0.385987,-0.407615,-0.371925,-0.336612,-0.413351,-0.224633,-0.13818,-0.150103,0.049626,-0.168498,0.074843,-0.163914,0.071119,-0.129339,0.05362,0.028082,-0.032546,0.4011,0.259665,0.755675,0.252383,0.79374,0.24126,0.804658,0.288165,0.056516,0.061165,0.068812,0.066251,0.034042,0.024416,0.042583,0.10615,0.034439,0.089614,0.0449,0.252063,0.05518,0.338642,0.003316,0.532624,0.091707,0.57187,0.113344,0.56875,0.132543,0.537192,0.098029,0.096874,-0.092534,0.054873,-0.201991,0.128047,-0.084518,0.1414,-0.102304,0.13479,-0.090814
